# rho lyap_trad lyap_tau
0.000000 -1.007275 nan
0.404040 -0.575996 nan
0.808081 -0.181697 nan
1.212121 -0.485452 nan
1.616162 -1.259284 nan
2.020202 -1.201033 nan
2.424242 -1.146567 nan
2.828283 -1.093914 nan
3.232323 -1.043308 nan
3.636364 -0.995321 nan
4.040404 -0.948842 nan
4.444444 -0.904092 nan
4.848485 -0.860759 nan
5.252525 -0.818949 nan
5.656566 -0.778466 nan
6.060606 -0.739062 nan
6.464646 -0.701073 nan
6.868687 -0.663750 nan
7.272727 -0.627469 nan
7.676768 -0.591789 nan
8.080808 -0.557322 nan
8.484848 -0.523510 nan
8.888889 -0.490555 nan
9.292929 -0.458223 nan
9.696970 -0.426369 nan
10.101010 -0.395551 nan
10.505051 -0.365031 nan
10.909091 -0.334951 nan
11.313131 -0.305424 nan
11.717172 -0.276334 nan
12.121212 -0.244600 nan
12.525253 -0.219917 nan
12.929293 -0.193868 nan
13.333333 -0.167807 nan
13.737374 -0.141343 nan
14.141414 -0.114760 nan
14.545455 -0.087839 nan
14.949495 0.551610 1.822103
15.353535 0.613775 1.888060
15.757576 0.630931 1.955550
16.161616 0.644112 1.844676
16.565657 0.663450 1.896106
16.969697 0.676044 1.860727
17.373737 0.686380 1.758696
17.777778 0.703151 2.052647
18.181818 0.717832 1.794255
18.585859 0.728737 1.857098
18.989899 0.741299 1.854933
19.393939 0.756943 1.669734
19.797980 0.771237 1.819007
20.202020 0.779414 1.770114
20.606061 0.792576 1.816562
21.010101 0.809095 1.938889
21.414141 0.818294 1.803503
21.818182 0.829812 1.783673
22.222222 0.841513 1.795166
22.626263 0.854781 1.749454
23.030303 0.863329 1.806158
23.434343 0.884099 1.636788
23.838384 0.886544 1.632374
24.242424 0.900849 1.750657
24.646465 0.911133 1.756107
25.050505 0.931116 1.923537
25.454545 0.931545 1.651300
25.858586 0.956096 1.658883
26.262626 0.980625 1.592550
26.666667 0.991751 1.603283
27.070707 1.017521 1.688084
27.474747 1.009806 1.673301
27.878788 1.031031 1.690229
28.282828 1.043484 1.739984
28.686869 1.055705 1.638643
29.090909 1.074944 1.601863
29.494949 1.087993 1.682453
29.898990 1.109452 1.659819
30.303030 1.135094 1.880706
30.707071 1.166788 1.858345
31.111111 1.162953 1.682287
31.515152 1.161734 1.823634
31.919192 1.187256 1.980914
32.323232 1.203103 1.878158
32.727273 1.207825 1.901729
33.131313 1.232783 2.043894
33.535354 1.184650 1.841170
33.939394 1.275687 1.892564
34.343434 1.237692 1.801525
34.747475 1.265999 1.984220
35.151515 1.290709 1.954772
35.555556 1.332778 1.860214
35.959596 1.313121 1.980178
36.363636 1.323900 1.973251
36.767677 1.385144 2.132877
37.171717 1.376106 2.166174
37.575758 1.360710 2.077070
37.979798 1.399748 2.172351
38.383838 1.371788 2.050500
38.787879 1.396676 2.106578
39.191919 1.408789 2.125062
39.595960 1.409734 2.081162
40.000000 1.444339 2.307602
