# dC1	N1/DWN1	P1/DWP2	C1/DWC1	D/DWD1
#------------------------------------------------------------
0.25000000	0.01328246	2.13239112	0.02446437	3.34667473
0.25789474	0.01323552	2.12093465	0.02439482	3.34576212
0.26578947	0.01318888	2.10944235	0.02432543	3.34485474
0.27368421	0.01314252	2.09791557	0.02425631	3.34395125
0.28157895	0.01309646	2.08635480	0.02418757	3.34305115
0.28947368	0.01305067	2.07475999	0.02411921	3.34215465
0.29736842	0.01300518	2.06313112	0.02405121	3.34126206
0.30526316	0.01295996	2.05146834	0.02398352	3.34037351
0.31315789	0.01291503	2.03977198	0.02391616	3.33948887
0.32105263	0.01287038	2.02804232	0.02384911	3.33860805
0.32894737	0.01282600	2.01627961	0.02378240	3.33773099
0.33684211	0.01278189	2.00448403	0.02371601	3.33685771
0.34473684	0.01273806	1.99265580	0.02364995	3.33598820
0.35263158	0.01269449	1.98079512	0.02358420	3.33512246
0.36052632	0.01265119	1.96890223	0.02351878	3.33426045
0.36842105	0.01260816	1.95697733	0.02345367	3.33340217
0.37631579	0.01256539	1.94502065	0.02338888	3.33254759
0.38421053	0.01252288	1.93303239	0.02332440	3.33169669
0.39210526	0.01248062	1.92101277	0.02326023	3.33084946
0.40000000	0.01243862	1.90896199	0.02319637	3.33000588
